Node List,Node Source
RPS6KB1,c2.cp.wikipathways.v2023.2.Hs.symbols
PCNA,c2.cp.wikipathways.v2023.2.Hs.symbols
TGFB1,c2.cp.wikipathways.v2023.2.Hs.symbols
ELOB,c2.cp.wikipathways.v2023.2.Hs.symbols
MAP2K7,c2.cp.wikipathways.v2023.2.Hs.symbols
NFKBIA,c2.cp.wikipathways.v2023.2.Hs.symbols
CHEK1,c2.cp.wikipathways.v2023.2.Hs.symbols
BSG,c2.cp.wikipathways.v2023.2.Hs.symbols
AKT1,c2.cp.wikipathways.v2023.2.Hs.symbols
BAK1,c2.cp.wikipathways.v2023.2.Hs.symbols
CDK1,c2.cp.wikipathways.v2023.2.Hs.symbols
MICA,c2.cp.wikipathways.v2023.2.Hs.symbols
IKBKB,c2.cp.wikipathways.v2023.2.Hs.symbols
MVD,c2.cp.wikipathways.v2023.2.Hs.symbols
AIFM1,c2.cp.wikipathways.v2023.2.Hs.symbols
SPRYD4,c2.cp.wikipathways.v2023.2.Hs.symbols
MAP3K1,c2.cp.wikipathways.v2023.2.Hs.symbols
CFLAR,c2.cp.wikipathways.v2023.2.Hs.symbols
PARK7,c2.cp.wikipathways.v2023.2.Hs.symbols
ITGAM,c2.cp.wikipathways.v2023.2.Hs.symbols
CD86,c2.cp.wikipathways.v2023.2.Hs.symbols
CD34,c2.cp.wikipathways.v2023.2.Hs.symbols
BBC3,c2.cp.wikipathways.v2023.2.Hs.symbols
EIF2A,c2.cp.wikipathways.v2023.2.Hs.symbols
EIF4G1,c2.cp.wikipathways.v2023.2.Hs.symbols
CHEK2,c2.cp.wikipathways.v2023.2.Hs.symbols
SDC1,c2.cp.wikipathways.v2023.2.Hs.symbols
MIR200C,c2.cp.wikipathways.v2023.2.Hs.symbols
ABCC1,c2.cp.wikipathways.v2023.2.Hs.symbols
IL24,c2.cp.wikipathways.v2023.2.Hs.symbols
JUN,c2.cp.wikipathways.v2023.2.Hs.symbols
FLG,c2.cp.wikipathways.v2023.2.Hs.symbols
HSPE1,c2.cp.wikipathways.v2023.2.Hs.symbols
IL6,c2.cp.wikipathways.v2023.2.Hs.symbols
BECN1,c2.cp.wikipathways.v2023.2.Hs.symbols
PROM1,c2.cp.wikipathways.v2023.2.Hs.symbols
CD82,c2.cp.wikipathways.v2023.2.Hs.symbols
TMBIM4,c2.cp.wikipathways.v2023.2.Hs.symbols
