Gene_Hugo_ID,Gene_Name,Role,Cancer_ID,Cancer_Name,TCGA_based_Cancer_Type
HGNC:1097,BRAF,Driver,DOID:2526,prostate adenocarcinoma,Prostate
HGNC:9611,PTK2,Driver,DOID:10286,prostate carcinoma,Prostate
HGNC:4893,HGF,Driver,DOID:10286,prostate carcinoma,Prostate
HGNC:3467,ESR1,Driver,DOID:10286,prostate carcinoma,Prostate
HGNC:3386,EPHA2,Driver,DOID:10286,prostate carcinoma,Prostate
HGNC:1916,CHD1L,Driver,DOID:10286,prostate carcinoma,Prostate
HGNC:9955,RELA,Driver,DOID:10283,prostate cancer,Prostate
HGNC:9843,RAMP1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:9827,RAD9A,Driver,DOID:10283,prostate cancer,Prostate
HGNC:9605,PTGS2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:9500,PSCA,Driver,DOID:10283,prostate cancer,Prostate
HGNC:9486,PRSS3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:9352,PRDX1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:9341,PRC1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:9316,PPP3CC,Driver,DOID:10283,prostate cancer,Prostate
HGNC:9234,MED1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:905,AXL,Driver,DOID:10283,prostate cancer,Prostate
HGNC:8949,SERPINB5,Driver,DOID:10283,prostate cancer,Prostate
HGNC:8891,PGD,Driver,DOID:10283,prostate cancer,Prostate
HGNC:8590,PAK1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:8033,NTRK3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:8032,NTRK2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7989,NRAS,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7978,NR3C1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7955,NPY,Driver,DOID:10283,prostate cancer,Prostate
HGNC:795,ATM,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7881,NOTCH1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:782,ATE1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7795,NFKB2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:76,ABL1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7381,MST1R,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7176,MMP9,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7132,KMT2A,Driver,DOID:10283,prostate cancer,Prostate
HGNC:7027,MERTK,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6889,MAPKAPK5,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6833,MAOA,Driver,DOID:10283,prostate cancer,Prostate
HGNC:663,ARG1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6596,LIF,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6407,KRAS,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6364,KLK3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6342,KIT,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6169,ITIH4,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6115,IREB2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6081,INS,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6025,CXCL8,Driver,DOID:10283,prostate cancer,Prostate
HGNC:6023,IL7,Driver,DOID:10283,prostate cancer,Prostate
HGNC:5382,IDH1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:5246,HSPB1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:5224,HSF1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:5217,HSD3B1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:5173,HRAS,Driver,DOID:10283,prostate cancer,Prostate
HGNC:5128,HOXC6,Driver,DOID:10283,prostate cancer,Prostate
HGNC:5112,HOXB13,Driver,DOID:10283,prostate cancer,Prostate
HGNC:5022,FOXA2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4983,HMGB1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4923,HK2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4893,HGF,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4880,HEY1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4741,H2AZ1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4603,CXCL2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4602,CXCL1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4419,GNRH1,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4381,GNA13,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4331,GLS,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4319,GLI3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4318,GLI2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4172,GATA3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:4168,GAS6,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3942,MTOR,Driver,DOID:10283,prostate cancer,Prostate
HGNC:386,AKR1C3,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3689,FGFR2,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3666,FGF10,Driver,DOID:10283,prostate cancer,Prostate
HGNC:3540,F2RL3,Driver,DOID:10283,prostate cancer,Prostate
