Node List,Source
HDAC9,Driver_CancerMine
RBMS3,Driver_CancerMine
KIF4A,Driver_CancerMine
APMAP,Driver_CancerMine
YY1,Driver_CancerMine
VEGFA,Driver_CancerMine
TROAP,Driver_CancerMine
TLK1,Driver_CancerMine
TRIM24,Driver_CancerMine
TGFBR3,Driver_CancerMine
TERT,Driver_CancerMine
TBX3,Driver_CancerMine
TBX2,Driver_CancerMine
TBCE,Driver_CancerMine
STS,Driver_CancerMine
AURKA,Driver_CancerMine
STAT3,Driver_CancerMine
SPRY2,Driver_CancerMine
SPINK1,Driver_CancerMine
SOX4,Driver_CancerMine
SOD2,Driver_CancerMine
SNAI1,Driver_CancerMine
KDM5C,Driver_CancerMine
SLC25A10,Driver_CancerMine
SLCO1B3,Driver_CancerMine
DST,Driver_CancerMine
SHH,Driver_CancerMine
SF3B2,Driver_CancerMine
SEMA4F,Driver_CancerMine
BMP6,Driver_CancerMine
SEMA3C,Driver_CancerMine
BMI1,Driver_CancerMine
CX3CL1,Driver_CancerMine
RUNX2,Driver_CancerMine
