Node List,Source
TBC1D3,Oncogene_CancerMine
EMSY,Oncogene_CancerMine
AMOTL1,Oncogene_CancerMine
AMOT,Oncogene_CancerMine
SPDEF,Oncogene_CancerMine
CDK1,Oncogene_CancerMine
WWP1,Oncogene_CancerMine
CCNB2,Oncogene_CancerMine
SIRT1,Oncogene_CancerMine
FOSL1,Oncogene_CancerMine
KAT6A,Oncogene_CancerMine
WNT5A,Oncogene_CancerMine
KDM6A,Oncogene_CancerMine
TRPS1,Oncogene_CancerMine
TPD52,Oncogene_CancerMine
TFCP2,Oncogene_CancerMine
TFAP2C,Oncogene_CancerMine
SOX4,Oncogene_CancerMine
ROR2,Oncogene_CancerMine
JAZF1,Oncogene_CancerMine
TFF3,Oncogene_CancerMine
TRIM27,Oncogene_CancerMine
RELA,Oncogene_CancerMine
BCL2L1,Oncogene_CancerMine
RAF1,Oncogene_CancerMine
RAC3,Oncogene_CancerMine
RAC1,Oncogene_CancerMine
PTBP1,Oncogene_CancerMine
LGMN,Oncogene_CancerMine
PRLR,Oncogene_CancerMine
PRL,Oncogene_CancerMine
PPARG,Oncogene_CancerMine
PDK1,Oncogene_CancerMine
PAWR,Oncogene_CancerMine
OGT,Oncogene_CancerMine
NOTCH3,Oncogene_CancerMine
NEK2,Oncogene_CancerMine
NEDD4,Oncogene_CancerMine
MMP2,Oncogene_CancerMine
MKI67,Oncogene_CancerMine
MAPK8,Oncogene_CancerMine
LEP,Oncogene_CancerMine
LCN2,Oncogene_CancerMine
KPNA2,Oncogene_CancerMine
KLF8,Oncogene_CancerMine
JAK2,Oncogene_CancerMine
IGF2,Oncogene_CancerMine
IGF1R,Oncogene_CancerMine
HMGA1,Oncogene_CancerMine
HMGA2,Oncogene_CancerMine
G6PD,Oncogene_CancerMine
AKT3,Oncogene_CancerMine
AKT2,Oncogene_CancerMine
FOXO3,Oncogene_CancerMine
FOXC2,Oncogene_CancerMine
FHL2,Oncogene_CancerMine
FGF8,Oncogene_CancerMine
FGF10,Oncogene_CancerMine
ACSL1,Oncogene_CancerMine
ETV4,Oncogene_CancerMine
ETV1,Oncogene_CancerMine
CTTN,Oncogene_CancerMine
ELAVL1,Oncogene_CancerMine
EIF4EBP1,Oncogene_CancerMine
AGR2,Oncogene_CancerMine
EEF1A2,Oncogene_CancerMine
E2F5,Oncogene_CancerMine
SETD7,Oncogene_CancerMine
RAB11FIP1,Oncogene_CancerMine
METTL14,Oncogene_CancerMine
CIP2A,Oncogene_CancerMine
DLX4,Oncogene_CancerMine
GSE1,Oncogene_CancerMine
MIEN1,Oncogene_CancerMine
DDX5,Oncogene_CancerMine
DDB2,Oncogene_CancerMine
CYP24A1,Oncogene_CancerMine
KDM8,Oncogene_CancerMine
CUL4A,Oncogene_CancerMine
DOT1L,Oncogene_CancerMine
CRP,Oncogene_CancerMine
FSIP1,Oncogene_CancerMine
LSM1,Oncogene_CancerMine
FAM3C,Oncogene_CancerMine
PADI2,Oncogene_CancerMine
HES6,Oncogene_CancerMine
THEM4,Oncogene_CancerMine
PRSS50,Oncogene_CancerMine
CDKN3,Oncogene_CancerMine
BRF2,Oncogene_CancerMine
KDM4C,Oncogene_CancerMine
MELK,Oncogene_CancerMine
ADHFE1,Oncogene_CancerMine
TRIM11,Oncogene_CancerMine
ANGPTL4,Oncogene_CancerMine
UBE2C,Oncogene_CancerMine
CCNE1,Oncogene_CancerMine
CBX4,Oncogene_CancerMine
CBLB,Oncogene_CancerMine
