Node List,Source
ERBB2,Driver_CancerMine
MYC,Driver_CancerMine
TP53,Driver_CancerMine
BRCA1,Driver_CancerMine
PIK3CA,Driver_CancerMine
EGFR,Driver_CancerMine
WNT1,Driver_CancerMine
AKT1,Driver_CancerMine
ESR1,Driver_CancerMine
PTEN,Driver_CancerMine
YAP1,Driver_CancerMine
STAT3,Driver_CancerMine
PI3,Driver_CancerMine
GATA3,Driver_CancerMine
ERBB3,Driver_CancerMine
FGFR1,Driver_CancerMine
CXCR4,Driver_CancerMine
BRCA2,Driver_CancerMine
MMRN1,Driver_CancerMine
IGF1,Driver_CancerMine
FOXM1,Driver_CancerMine
CDH1,Driver_CancerMine
VEGFA,Driver_CancerMine
TAFAZZIN,Driver_CancerMine
PTHLH,Driver_CancerMine
PTGS2,Driver_CancerMine
NF1,Driver_CancerMine
PELP1,Driver_CancerMine
SNAI1,Driver_CancerMine
MST1R,Driver_CancerMine
KRAS,Driver_CancerMine
CCND1,Driver_CancerMine
CCL2,Driver_CancerMine
PTK2,Driver_CancerMine
PTGDR,Driver_CancerMine
NOTCH1,Driver_CancerMine
NCOA3,Driver_CancerMine
MYB,Driver_CancerMine
MMP14,Driver_CancerMine
MAPK1,Driver_CancerMine
LEP,Driver_CancerMine
INS,Driver_CancerMine
HRAS,Driver_CancerMine
KLF6,Driver_CancerMine
CD44,Driver_CancerMine
ZEB1,Driver_CancerMine
TBX2,Driver_CancerMine
SRC,Driver_CancerMine
CXCL12,Driver_CancerMine
REL,Driver_CancerMine
BCL2,Driver_CancerMine
PTK6,Driver_CancerMine
PRL,Driver_CancerMine
PAFAH1B3,Driver_CancerMine
MST1,Driver_CancerMine
MMP9,Driver_CancerMine
MDM4,Driver_CancerMine
IL6,Driver_CancerMine
MYOF,Driver_CancerMine
EIF4E,Driver_CancerMine
MIEN1,Driver_CancerMine
PALB2,Driver_CancerMine
CDK12,Driver_CancerMine
F11R,Driver_CancerMine
CTCF,Driver_CancerMine
ATP8A2,Driver_CancerMine
