Node List,Source
IFI44,Oncogene_CancerMine
ANP32D,Oncogene_CancerMine
CDCA4,Oncogene_CancerMine
PIM2,Oncogene_CancerMine
PAWR,Oncogene_CancerMine
MALT1,Oncogene_CancerMine
HOXA10,Oncogene_CancerMine
ETS1,Oncogene_CancerMine
ENTPD5,Oncogene_CancerMine
MAML2,Oncogene_CancerMine
TFF3,Oncogene_CancerMine
SETDB1,Oncogene_CancerMine
RUNX1,Oncogene_CancerMine
RPS6,Oncogene_CancerMine
RPL31,Oncogene_CancerMine
TRIM27,Oncogene_CancerMine
RELB,Oncogene_CancerMine
RECQL4,Oncogene_CancerMine
BCL2L10,Oncogene_CancerMine
RBM4,Oncogene_CancerMine
ARID4A,Oncogene_CancerMine
RB1,Oncogene_CancerMine
RASAL2,Oncogene_CancerMine
RAP2A,Oncogene_CancerMine
RAP1A,Oncogene_CancerMine
RALA,Oncogene_CancerMine
GPRC5A,Oncogene_CancerMine
RAB5A,Oncogene_CancerMine
RAB1A,Oncogene_CancerMine
PTTG1,Oncogene_CancerMine
PTPRK,Oncogene_CancerMine
PTPN12,Oncogene_CancerMine
PTPN1,Oncogene_CancerMine
PTP4A3,Oncogene_CancerMine
PSMD4,Oncogene_CancerMine
PRLR,Oncogene_CancerMine
PRL,Oncogene_CancerMine
PRKDC,Oncogene_CancerMine
PKN1,Oncogene_CancerMine
PRKCI,Oncogene_CancerMine
ZMYND8,Oncogene_CancerMine
PRKAR2B,Oncogene_CancerMine
PRKAA1,Oncogene_CancerMine
PRDX2,Oncogene_CancerMine
PRC1,Oncogene_CancerMine
ACAT1,Oncogene_CancerMine
MED1,Oncogene_CancerMine
POU4F1,Oncogene_CancerMine
POU3F2,Oncogene_CancerMine
PLXNC1,Oncogene_CancerMine
PLXNB1,Oncogene_CancerMine
PLAGL2,Oncogene_CancerMine
PLA2G7,Oncogene_CancerMine
PIN1,Oncogene_CancerMine
PIK3R1,Oncogene_CancerMine
PGK1,Oncogene_CancerMine
SERPINF1,Oncogene_CancerMine
ATR,Oncogene_CancerMine
PDE4D,Oncogene_CancerMine
