Node List,Source
BRCA1,Tumor_Suppressor_CancerMine
TP53,Tumor_Suppressor_CancerMine
PTEN,Tumor_Suppressor_CancerMine
BRCA2,Tumor_Suppressor_CancerMine
CDH1,Tumor_Suppressor_CancerMine
YAP1,Tumor_Suppressor_CancerMine
FOXP3,Tumor_Suppressor_CancerMine
SYK,Tumor_Suppressor_CancerMine
CDKN2A,Tumor_Suppressor_CancerMine
SERPINB5,Tumor_Suppressor_CancerMine
FOXO3,Tumor_Suppressor_CancerMine
RUNX1,Tumor_Suppressor_CancerMine
RUNX3,Tumor_Suppressor_CancerMine
RASSF1,Tumor_Suppressor_CancerMine
PTPN12,Tumor_Suppressor_CancerMine
PTGDR,Tumor_Suppressor_CancerMine
STK11,Tumor_Suppressor_CancerMine
RHOBTB2,Tumor_Suppressor_CancerMine
STAT1,Tumor_Suppressor_CancerMine
NDRG1,Tumor_Suppressor_CancerMine
NUMB,Tumor_Suppressor_CancerMine
IRF1,Tumor_Suppressor_CancerMine
INPP4B,Tumor_Suppressor_CancerMine
SMYD4,Tumor_Suppressor_CancerMine
TRIM29,Tumor_Suppressor_CancerMine
RBM38,Tumor_Suppressor_CancerMine
WWOX,Tumor_Suppressor_CancerMine
WNT5A,Tumor_Suppressor_CancerMine
STAT3,Tumor_Suppressor_CancerMine
DIRAS3,Tumor_Suppressor_CancerMine
KLF4,Tumor_Suppressor_CancerMine
KL,Tumor_Suppressor_CancerMine
APC,Tumor_Suppressor_CancerMine
HOXA5,Tumor_Suppressor_CancerMine
GATA3,Tumor_Suppressor_CancerMine
CCN6,Tumor_Suppressor_CancerMine
PDCD4,Tumor_Suppressor_CancerMine
CST6,Tumor_Suppressor_CancerMine
RAB25,Tumor_Suppressor_CancerMine
FBXW7,Tumor_Suppressor_CancerMine
SIRT3,Tumor_Suppressor_CancerMine
BRD7,Tumor_Suppressor_CancerMine
CCN4,Tumor_Suppressor_CancerMine
RB1,Tumor_Suppressor_CancerMine
KLF5,Tumor_Suppressor_CancerMine
ID4,Tumor_Suppressor_CancerMine
TET1,Tumor_Suppressor_CancerMine
DACH1,Tumor_Suppressor_CancerMine
ECRG4,Tumor_Suppressor_CancerMine
FAT4,Tumor_Suppressor_CancerMine
SASH1,Tumor_Suppressor_CancerMine
TSG101,Tumor_Suppressor_CancerMine
CBFA2T3,Tumor_Suppressor_CancerMine
SIRT1,Tumor_Suppressor_CancerMine
NDRG2,Tumor_Suppressor_CancerMine
CTCF,Tumor_Suppressor_CancerMine
PCGF2,Tumor_Suppressor_CancerMine
TP53BP1,Tumor_Suppressor_CancerMine
BECN1,Tumor_Suppressor_CancerMine
PER2,Tumor_Suppressor_CancerMine
HPGD,Tumor_Suppressor_CancerMine
HMGB1,Tumor_Suppressor_CancerMine
HIC1,Tumor_Suppressor_CancerMine
GPER1,Tumor_Suppressor_CancerMine
FOXP1,Tumor_Suppressor_CancerMine
FABP3,Tumor_Suppressor_CancerMine
AHNAK,Tumor_Suppressor_CancerMine
EGR1,Tumor_Suppressor_CancerMine
CLDN1,Tumor_Suppressor_CancerMine
SETD2,Tumor_Suppressor_CancerMine
NISCH,Tumor_Suppressor_CancerMine
CDKN1C,Tumor_Suppressor_CancerMine
RERG,Tumor_Suppressor_CancerMine
VHL,Tumor_Suppressor_CancerMine
EGLN1,Tumor_Suppressor_CancerMine
SLIT2,Tumor_Suppressor_CancerMine
SFRP1,Tumor_Suppressor_CancerMine
SALL1,Tumor_Suppressor_CancerMine
PTPRG,Tumor_Suppressor_CancerMine
PTPN13,Tumor_Suppressor_CancerMine
ATM,Tumor_Suppressor_CancerMine
NOTCH2,Tumor_Suppressor_CancerMine
ATF2,Tumor_Suppressor_CancerMine
VWA5A,Tumor_Suppressor_CancerMine
LIFR,Tumor_Suppressor_CancerMine
LATS1,Tumor_Suppressor_CancerMine
KLK10,Tumor_Suppressor_CancerMine
CADM1,Tumor_Suppressor_CancerMine
AKT1,Tumor_Suppressor_CancerMine
FOXO1,Tumor_Suppressor_CancerMine
FOXF1,Tumor_Suppressor_CancerMine
ERBB2,Tumor_Suppressor_CancerMine
SCUBE2,Tumor_Suppressor_CancerMine
CLDN6,Tumor_Suppressor_CancerMine
BRIP1,Tumor_Suppressor_CancerMine
CLCA2,Tumor_Suppressor_CancerMine
ST18,Tumor_Suppressor_CancerMine
CDKN1A,Tumor_Suppressor_CancerMine
CDH13,Tumor_Suppressor_CancerMine
FBXO31,Tumor_Suppressor_CancerMine
CAV1,Tumor_Suppressor_CancerMine
LZTS1,Tumor_Suppressor_CancerMine
WT1,Tumor_Suppressor_CancerMine
SPOP,Tumor_Suppressor_CancerMine
BNIP3,Tumor_Suppressor_CancerMine
BAP1,Tumor_Suppressor_CancerMine
PRDX1,Tumor_Suppressor_CancerMine
PTPA,Tumor_Suppressor_CancerMine
PLK1,Tumor_Suppressor_CancerMine
NOTCH3,Tumor_Suppressor_CancerMine
KISS1,Tumor_Suppressor_CancerMine
ALX4,Tumor_Suppressor_CancerMine
GJA1,Tumor_Suppressor_CancerMine
GABARAPL1,Tumor_Suppressor_CancerMine
FOXF2,Tumor_Suppressor_CancerMine
EZH2,Tumor_Suppressor_CancerMine
ERBB4,Tumor_Suppressor_CancerMine
EP300,Tumor_Suppressor_CancerMine
DUSP4,Tumor_Suppressor_CancerMine
PAQR3,Tumor_Suppressor_CancerMine
PBRM1,Tumor_Suppressor_CancerMine
DNMT1,Tumor_Suppressor_CancerMine
METTL14,Tumor_Suppressor_CancerMine
DLC1,Tumor_Suppressor_CancerMine
VGLL4,Tumor_Suppressor_CancerMine
DKK1,Tumor_Suppressor_CancerMine
ZNF668,Tumor_Suppressor_CancerMine
CPEB2,Tumor_Suppressor_CancerMine
ITIH5,Tumor_Suppressor_CancerMine
ING4,Tumor_Suppressor_CancerMine
SOCS3,Tumor_Suppressor_CancerMine
STARD13,Tumor_Suppressor_CancerMine
METTL3,Tumor_Suppressor_CancerMine
CHEK2,Tumor_Suppressor_CancerMine
CBX7,Tumor_Suppressor_CancerMine
ASPN,Tumor_Suppressor_CancerMine
KLF15,Tumor_Suppressor_CancerMine
YY1,Tumor_Suppressor_CancerMine
CCN5,Tumor_Suppressor_CancerMine
UCHL1,Tumor_Suppressor_CancerMine
UBE3A,Tumor_Suppressor_CancerMine
TRPS1,Tumor_Suppressor_CancerMine
TPM1,Tumor_Suppressor_CancerMine
TACC2,Tumor_Suppressor_CancerMine
TRIM21,Tumor_Suppressor_CancerMine
SOD2,Tumor_Suppressor_CancerMine
SIRT2,Tumor_Suppressor_CancerMine
SFN,Tumor_Suppressor_CancerMine
SEMA3B,Tumor_Suppressor_CancerMine
