Node List,Source
OLFM4,Tumor_Suppressor_CancerMine
DICER1,Tumor_Suppressor_CancerMine
ELL2,Tumor_Suppressor_CancerMine
SOCS6,Tumor_Suppressor_CancerMine
SOX6,Tumor_Suppressor_CancerMine
YAP1,Tumor_Suppressor_CancerMine
SIRT3,Tumor_Suppressor_CancerMine
PCDH17,Tumor_Suppressor_CancerMine
PCDH10,Tumor_Suppressor_CancerMine
ANP32A,Tumor_Suppressor_CancerMine
TSHZ2,Tumor_Suppressor_CancerMine
PCGF2,Tumor_Suppressor_CancerMine
WT1,Tumor_Suppressor_CancerMine
TIMP3,Tumor_Suppressor_CancerMine
TGFBR3,Tumor_Suppressor_CancerMine
HNF1B,Tumor_Suppressor_CancerMine
STK11,Tumor_Suppressor_CancerMine
STAT3,Tumor_Suppressor_CancerMine
BTG3,Tumor_Suppressor_CancerMine
SOX11,Tumor_Suppressor_CancerMine
SOD3,Tumor_Suppressor_CancerMine
SEMA3A,Tumor_Suppressor_CancerMine
RUNX3,Tumor_Suppressor_CancerMine
RUNX1,Tumor_Suppressor_CancerMine
BECN1,Tumor_Suppressor_CancerMine
BDNF,Tumor_Suppressor_CancerMine
RP1,Tumor_Suppressor_CancerMine
BCL2,Tumor_Suppressor_CancerMine
NOP53,Tumor_Suppressor_CancerMine
XPO7,Tumor_Suppressor_CancerMine
GPNMB,Tumor_Suppressor_CancerMine
FOXF1,Tumor_Suppressor_CancerMine
KLLN,Tumor_Suppressor_CancerMine
FHIT,Tumor_Suppressor_CancerMine
DLC1,Tumor_Suppressor_CancerMine
ECRG4,Tumor_Suppressor_CancerMine
CHEK2,Tumor_Suppressor_CancerMine
SOX10,Tumor_Suppressor_CancerMine
S100A4,Tumor_Suppressor_CancerMine
RGS12,Tumor_Suppressor_CancerMine
BCL2L1,Tumor_Suppressor_CancerMine
RBM4,Tumor_Suppressor_CancerMine
RARRES2,Tumor_Suppressor_CancerMine
RARB,Tumor_Suppressor_CancerMine
RARA,Tumor_Suppressor_CancerMine
RAP1GAP,Tumor_Suppressor_CancerMine
RAC1,Tumor_Suppressor_CancerMine
QSOX1,Tumor_Suppressor_CancerMine
CAVIN1,Tumor_Suppressor_CancerMine
PTPRK,Tumor_Suppressor_CancerMine
PTPN14,Tumor_Suppressor_CancerMine
PTPN12,Tumor_Suppressor_CancerMine
CAVIN3,Tumor_Suppressor_CancerMine
PPP2R2C,Tumor_Suppressor_CancerMine
POU5F1,Tumor_Suppressor_CancerMine
PLEC,Tumor_Suppressor_CancerMine
AXL,Tumor_Suppressor_CancerMine
PLAGL1,Tumor_Suppressor_CancerMine
PIK3R1,Tumor_Suppressor_CancerMine
PFN1,Tumor_Suppressor_CancerMine
PER1,Tumor_Suppressor_CancerMine
PDK3,Tumor_Suppressor_CancerMine
PDGFRL,Tumor_Suppressor_CancerMine
