Node List,Source
ZEB1,GDC_Mutational_Frequency
JAK1,GDC_Mutational_Frequency
DDR2,GDC_Mutational_Frequency
PTPN13,GDC_Mutational_Frequency
WRN,GDC_Mutational_Frequency
PRKCB,GDC_Mutational_Frequency
STAT3,GDC_Mutational_Frequency
AFF1,GDC_Mutational_Frequency
POLE,GDC_Mutational_Frequency
MAML2,GDC_Mutational_Frequency
ZNF521,GDC_Mutational_Frequency
DDX3X,GDC_Mutational_Frequency
WAS,GDC_Mutational_Frequency
CUL3,GDC_Mutational_Frequency
IGF2BP2,GDC_Mutational_Frequency
LZTR1,GDC_Mutational_Frequency
DICER1,GDC_Mutational_Frequency
MSH6,GDC_Mutational_Frequency
MYB,GDC_Mutational_Frequency
ACVR2A,GDC_Mutational_Frequency
PDGFRA,GDC_Mutational_Frequency
EPHA7,GDC_Mutational_Frequency
FANCD2,GDC_Mutational_Frequency
LPP,GDC_Mutational_Frequency
BAP1,GDC_Mutational_Frequency
EXT1,GDC_Mutational_Frequency
PTCH1,GDC_Mutational_Frequency
ARHGEF12,GDC_Mutational_Frequency
DCTN1,GDC_Mutational_Frequency
PIK3CB,GDC_Mutational_Frequency
AFF4,GDC_Mutational_Frequency
KDM5A,GDC_Mutational_Frequency
ARHGEF10L,GDC_Mutational_Frequency
PCM1,GDC_Mutational_Frequency
CDH17,GDC_Mutational_Frequency
PTPRC,GDC_Mutational_Frequency
ERC1,GDC_Mutational_Frequency
CNOT3,GDC_Mutational_Frequency
LARP4B,GDC_Mutational_Frequency
DROSHA,GDC_Mutational_Frequency
EPAS1,GDC_Mutational_Frequency
PRDM2,GDC_Mutational_Frequency
KIAA1549,GDC_Mutational_Frequency
TRIM24,GDC_Mutational_Frequency
KTN1,GDC_Mutational_Frequency
BCL11B,GDC_Mutational_Frequency
KIT,GDC_Mutational_Frequency
COL3A1,GDC_Mutational_Frequency
TET2,GDC_Mutational_Frequency
ERCC4,GDC_Mutational_Frequency
WT1,GDC_Mutational_Frequency
FANCA,GDC_Mutational_Frequency
ZNF429,GDC_Mutational_Frequency
TRIM33,GDC_Mutational_Frequency
THRAP3,GDC_Mutational_Frequency
PMS1,GDC_Mutational_Frequency
CLTCL1,GDC_Mutational_Frequency
CIC,GDC_Mutational_Frequency
JAK2,GDC_Mutational_Frequency
AXIN1,GDC_Mutational_Frequency
RNF43,GDC_Mutational_Frequency
ITK,GDC_Mutational_Frequency
PDGFRB,GDC_Mutational_Frequency
FOXP1,GDC_Mutational_Frequency
AKT3,GDC_Mutational_Frequency
DNMT3A,GDC_Mutational_Frequency
CEP89,GDC_Mutational_Frequency
NUP214,GDC_Mutational_Frequency
KRAS,GDC_Mutational_Frequency
IL6ST,GDC_Mutational_Frequency
TCF12,GDC_Mutational_Frequency
NCOA2,GDC_Mutational_Frequency
POLG,GDC_Mutational_Frequency
SMAD4,GDC_Mutational_Frequency
ARHGAP26,GDC_Mutational_Frequency
MSN,GDC_Mutational_Frequency
PTPRK,GDC_Mutational_Frequency
XPC,GDC_Mutational_Frequency
NRG1,GDC_Mutational_Frequency
FBLN2,GDC_Mutational_Frequency
PBRM1,GDC_Mutational_Frequency
PSIP1,GDC_Mutational_Frequency
STAT6,GDC_Mutational_Frequency
HOOK3,GDC_Mutational_Frequency
TBL1XR1,GDC_Mutational_Frequency
GPC5,GDC_Mutational_Frequency
BCL9L,GDC_Mutational_Frequency
ETV1,GDC_Mutational_Frequency
EPHA3,GDC_Mutational_Frequency
PRDM1,GDC_Mutational_Frequency
NCOA1,GDC_Mutational_Frequency
EPS15,GDC_Mutational_Frequency
HSP90AB1,GDC_Mutational_Frequency
ABL1,GDC_Mutational_Frequency
NFATC2,GDC_Mutational_Frequency
PPP2R1A,GDC_Mutational_Frequency
