Gene Name,Source
A2ML1,GDC_DEGs_Upregulated_Project_TCGA-BRCA
AADAC,GDC_DEGs_Downregulated_Project_TCGA-BRCA
AADACL3,GDC_DEGs_Downregulated_Project_TCGA-BRCA
AARD,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ABCA10,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ABCA6,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ABCA8,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ABCA9,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ABCB1,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ABCB5,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ABCC9,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ABCD2,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ABI3BP,GDC_DEGs_Downregulated_Project_TCGA-BRCA
AC007906.2,GDC_DEGs_Downregulated_Project_TCGA-BRCA
AC008581.2,GDC_DEGs_Downregulated_Project_TCGA-BRCA
AC009779.3,GDC_DEGs_Downregulated_Project_TCGA-BRCA
AC010255.2,GDC_DEGs_Upregulated_Project_TCGA-BRCA
AC013470.2,GDC_DEGs_Upregulated_Project_TCGA-BRCA
AC026316.4,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ACACB,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ACADL,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ACAN,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ACKR1,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ACO1,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ACOD1,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ACP7,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ACSL1,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ACSM2A,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ACSM2B,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ACSM5,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ACTL6B,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ACTL8,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ACTN2,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ACVR1C,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADAM18,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ADAM33,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADAM8,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ADAMDEC1,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ADAMTS1,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADAMTS14,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ADAMTS19,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ADAMTS20,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ADAMTS5,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADCYAP1R1,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADGRD1,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADGRD2,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADGRF4,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ADGRG4,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADGRG7,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ADH1A,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADH1B,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADH1C,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADH4,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADIPOQ,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADM2,GDC_DEGs_Upregulated_Project_TCGA-BRCA
ADRA1A,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADRB2,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ADRB3,GDC_DEGs_Downregulated_Project_TCGA-BRCA
AGR2,GDC_DEGs_Upregulated_Project_TCGA-BRCA
AGR3,GDC_DEGs_Upregulated_Project_TCGA-BRCA
AJM1,GDC_DEGs_Upregulated_Project_TCGA-BRCA
AK5,GDC_DEGs_Downregulated_Project_TCGA-BRCA
AKAIN1,GDC_DEGs_Downregulated_Project_TCGA-BRCA
AKAP12,GDC_DEGs_Downregulated_Project_TCGA-BRCA
AKAP14,GDC_DEGs_Upregulated_Project_TCGA-BRCA
AKAP6,GDC_DEGs_Downregulated_Project_TCGA-BRCA
AKR1C1,GDC_DEGs_Downregulated_Project_TCGA-BRCA
AKR1C2,GDC_DEGs_Downregulated_Project_TCGA-BRCA
AKR1C3,GDC_DEGs_Downregulated_Project_TCGA-BRCA
AKR7A3,GDC_DEGs_Upregulated_Project_TCGA-BRCA
AL031777.2,GDC_DEGs_Upregulated_Project_TCGA-BRCA
AL590132.1,GDC_DEGs_Upregulated_Project_TCGA-BRCA
AL603764.2,GDC_DEGs_Upregulated_Project_TCGA-BRCA
AL845331.1,GDC_DEGs_Downregulated_Project_TCGA-BRCA
ALAS2,GDC_DEGs_Downregulated_Project_TCGA-BRCA
